id;foodName;category;preparation;gi;giMin;giMax;carbsPer100g;defaultPortion;evidence;note;sourceTitle;sourceUrl
bily-psenicny-chleb;Biely pšeničný chlieb;Pečivo;bežný krájaný chlieb;75;72;93;49.0;50;Reprezentatívna hodnota z viacerých testovaných variantov;Hodnoty sa výrazne mení podľa múky, štruktúry striedky, kysnutia a výrobce.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
veka-bila;Biela veka;Pečivo;"česká testovaná veka; historická receptúra";75;75;75;52.0;50;Priame testovanie konkrétnej českej položky;GI 75 vychádza z konkrétneho výrobku testovaného v ČR. Dnešní receptúra môže byť iná.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
rohlik-bily;Rožok alebo žemľa;Pečivo;mäkké biele pečivo;56;52;70;53.0;43;Reprezentatívna hodnota z viacerých testovaných variantov;"Ide o priradenie k testovaným mäkkým bielym rožkom; konkrétny český alebo slovenský výrobok sa môže líšiť.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
toastovy-chleb-bily;Toastový chlieb;Pečivo;biely, balený;75;70;85;47.0;50;Reprezentatívna hodnota z viacerých testovaných variantov;Použite sacharidy z etikety. Prídavok tuku, cukru, vlákniny a spôsob výroby mení GI.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
zitny-kvaskovy-chleb;Ražný kváskový chlieb;Pečivo;tradične kvasený;59;48;65;42.0;50;Reprezentatívna hodnota z viacerých testovaných variantov;"Dlhšie fermentácia a vyšší podiel žita môžu GI znižovať; označení „kváskový“ samo o sebe nízky GI nezaručuje.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
psenicno-zitny-kvaskovy;Pšenično-ražný kváskový chlieb;Pečivo;zmiešaný kváskový;62;50;70;43.0;50;Reprezentatívna hodnota z viacerých testovaných variantov;Rozhoduje pomer múk, hrubosť mletia, fermentácia a podiel celých zŕn.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
zitny-celozrnny-chleb;Celozrnný ražný chlieb;Pečivo;hutný, celozrnný;65;63;67;41.0;50;Reprezentatívna hodnota z viacerých testovaných variantov;"Hutná štruktúra a celé zrná môžu spomaliť trávenie; jemne mletá múka pôsobí inak.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
celozrnny-psenicny-chleb;Celozrnný pšeničný chlieb;Pečivo;z jemne mletej celozrnnej múky;74;65;85;41.0;50;Reprezentatívna hodnota z viacerých testovaných variantov;Celozrnné označení automaticky neznamená nízky GI, zejména pri jemném mletia.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
vicezrnny-chleb-cela-zrna;Viaczrnný chlieb;Pečivo;s viditeľnými celými zrnami a semienkami;43;34;55;40.0;50;Reprezentatívna hodnota z viacerých testovaných variantov;"Nižší hodnoty sa týkajú výrobkov s vysokým podílem neporušených zŕn; bežný „vícezrnný“ chlieb môže byť výše.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
krehky-zitny-chleb;Chrumkavý ražný chlieb;Pečivo;suchý chrumkavý plátek;64;55;72;64.0;20;Reprezentatívna hodnota z viacerých testovaných variantov;GI môže byť stredná až vyšší, ale malá hmotnosť porcie často udrží GL níže.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bageta-bila;Biela bageta;Pečivo;francouzský typ;75;57;83;56.0;60;Reprezentatívna hodnota z viacerých testovaných variantov;"Pôvodná hodnota 95 bola príliš vysoká pre bežnú bagetu; testované bagety sa najčastejšie pohybovali približne v rozmedzí 57–83.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pita-bila;Pita;Pečivo;biela pšeničná;68;68;68;55.7;60;Priame testovanie konkrétneho variantu;"Hodnota vychádza z priamo testované biele pity; pri baleného výrobku použite sacharidy z etikety.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pita-celozrnna;Pita;Pečivo;celozrnná;56;56;56;52.0;60;Priame testovanie konkrétneho variantu;Hodnota vychádza z priamo testované celozrnné pity.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
croissant-maslovy;Croissant;Pečivo;máslový;55;45;67;45.0;60;Reprezentatívna hodnota z viacerých testovaných variantov;Tuk môže znížiť rýchlosť vyprázdňovania žalúdka, ale porcie stále obsahuje významné množstvo sacharidov.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ovesne-vlocky-suche;Ovsené vločky;Obilniny a raňajky;"tradiční vločky; porcie zadána v suchém stavu";55;49;63;57.6;60;Reprezentatívna hodnota z viacerých testovaných variantov;GI zodpovedá tradičným vločkám po bežnej príprave, zatiaľ čo sacharidy sa počítajú z odváženej suchej porcie.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ovesna-kase-huste-vlocky;Ovsená kaša;Obilniny a raňajky;z hrubých alebo silných vločiek, varená;55;49;63;10.1;250;Reprezentatívna hodnota z viacerých testovaných variantov;Hrubšie vločky a kratšie varenie mívají nižší GI než jemné alebo instantná varianty.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ovesna-kase-jemne-vlocky;Ovsená kaša;Obilniny a raňajky;z jemných vločiek, déle varená;76;70;81;10.1;250;Reprezentatívna hodnota z viacerých testovaných variantov;Jemné vločky a dlhšie rozvarenie sprístupňujú škrob rýchlejšie.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ovesna-kase-instantni;Ovsená kaša;Obilniny a raňajky;instantná, pripravená vo vode;82;76;87;12.0;250;Reprezentatívna hodnota z viacerých testovaných variantov;Instantné spracovanie zvyčajne zvyšuje rýchlosť trávenia. Pri ochutených zmesiach použite etiketu.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
