id;foodName;category;preparation;gi;giMin;giMax;carbsPer100g;defaultPortion;evidence;note;sourceTitle;sourceUrl
bily-psenicny-chleb;Bílý pšeničný chléb;Pečivo;běžný krájený chléb;75;72;93;49.0;50;Reprezentativní hodnota z více testovaných variant;Hodnoty se výrazně mění podle mouky, struktury střídky, kynutí a výrobce.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
veka-bila;Veka bílá;Pečivo;"česká testovaná veka; historická receptura";75;75;75;52.0;50;Přímé testování konkrétní české položky;GI 75 vychází z konkrétního výrobku testovaného v ČR. Dnešní receptura může být jiná.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
rohlik-bily;Rohlík nebo houska;Pečivo;měkké bílé pečivo;56;52;70;53.0;43;Reprezentativní hodnota z více testovaných variant;"Jde o přiřazení k testovaným měkkým bílým rolkám; konkrétní český nebo slovenský výrobek může být odlišný.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
toastovy-chleb-bily;Toastový chléb;Pečivo;bílý, balený;75;70;85;47.0;50;Reprezentativní hodnota z více testovaných variant;Použijte sacharidy z etikety. Přídavek tuku, cukru, vlákniny a způsob výroby mění GI.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
zitny-kvaskovy-chleb;Žitný kváskový chléb;Pečivo;tradičně kvašený;59;48;65;42.0;50;Reprezentativní hodnota z více testovaných variant;"Delší fermentace a vyšší podíl žita mohou GI snižovat; označení „kváskový“ samo o sobě nízký GI nezaručuje.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
psenicno-zitny-kvaskovy;Pšenično-žitný kváskový chléb;Pečivo;směsný kváskový;62;50;70;43.0;50;Reprezentativní hodnota z více testovaných variant;Rozhoduje poměr mouk, hrubost mletí, fermentace a podíl celých zrn.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
zitny-celozrnny-chleb;Celozrnný žitný chléb;Pečivo;hutný, celozrnný;65;63;67;41.0;50;Reprezentativní hodnota z více testovaných variant;"Hutná struktura a celá zrna mohou zpomalit trávení; jemně mletá mouka působí jinak.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
celozrnny-psenicny-chleb;Celozrnný pšeničný chléb;Pečivo;z jemně mleté celozrnné mouky;74;65;85;41.0;50;Reprezentativní hodnota z více testovaných variant;Celozrnné označení automaticky neznamená nízký GI, zejména při jemném mletí.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
vicezrnny-chleb-cela-zrna;Vícezrnný chléb;Pečivo;s viditelnými celými zrny a semínky;43;34;55;40.0;50;Reprezentativní hodnota z více testovaných variant;"Nižší hodnoty se týkají výrobků s vysokým podílem neporušených zrn; běžný „vícezrnný“ chléb může být výše.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
krehky-zitny-chleb;Křehký žitný chléb;Pečivo;suchý křehký plátek;64;55;72;64.0;20;Reprezentativní hodnota z více testovaných variant;GI může být střední až vyšší, ale malá hmotnost porce často udrží GL níže.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bageta-bila;Bílá bageta;Pečivo;francouzský typ;75;57;83;56.0;60;Reprezentativní hodnota z více testovaných variant;"Původní hodnota 95 byla příliš vysoká pro běžnou bagetu; testované bagety se nejčastěji pohybují přibližně 57–83.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pita-bila;Pita;Pečivo;bílá pšeničná;68;68;68;55.7;60;Přímé testování konkrétní varianty;"Hodnota vychází z přímo testované bílé pity; u baleného výrobku použijte sacharidy z etikety.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pita-celozrnna;Pita;Pečivo;celozrnná;56;56;56;52.0;60;Přímé testování konkrétní varianty;Hodnota vychází z přímo testované celozrnné pity.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
croissant-maslovy;Croissant;Pečivo;máslový;55;45;67;45.0;60;Reprezentativní hodnota z více testovaných variant;Tuk může snížit rychlost vyprazdňování žaludku, ale porce stále obsahuje významné množství sacharidů.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
